Vou No.,Vou Date,Party Name,GSTIN No.,City,Place of Supply,Product Name,HSN Code,Quantity-1,Item Amount,Expense / Discount,Tax %,Taxable Amt.,IGST,CGST,SGST,Cess,Bill Amount
SCT/2508,01-12-2025,LEORA CERAMIC LLP,24AAKFL1240R1Z2,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,3577,"2,14,620.00",0,18,"2,14,620.00",0,"19,316.00","19,316.00",0,"2,87,236.00"
SCT/2508,01-12-2025,LEORA CERAMIC LLP,24AAKFL1240R1Z2,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,480,"28,800.00",0,18,"28,800.00",0,"2,592.00","2,592.00",0,"2,87,236.00"
SCT/2509,1/13/2025,S P MARKETING,24AOYPB3050K1ZU,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1033,"25,825.00",0,18,"25,825.00",0,"2,324.00","2,324.00",0,"30,473.00"
SCT/2510,1/13/2025,DIWANI CERAMIC,24BRKPP7541R1ZX,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1440,"86,400.00",0,18,"86,400.00",0,"7,776.00","7,776.00",0,"1,01,952.00"
SCT/2511,1/13/2025,QCERO CERAMICS LLP,24AAAFQ8463B1ZH,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,717,"43,020.00",0,18,"43,020.00",0,"3,872.00","3,872.00",0,"50,764.00"
SCT/2512,1/13/2025,BHARAT SANITARY AND HARDWARE STORE,08AKIPS3897F1ZJ,DEOGARH,Rajasthan,CERAMIC GLAZE TILES,69072300,400,"20,000.00",-4446,18,"15,554.00","2,800.00",0,0,0,"18,354.00"
SCT/2513,1/13/2025,KHUSH ENTERPRISES,08ABBFK6785G1ZZ,PUNALI,Rajasthan,CERAMIC GLAZE TILES,69072300,3180,"1,90,800.00",668,18,"1,91,468.00","34,464.00",0,0,0,"2,25,932.00"
SCT/2514,1/13/2025,TOTAL TILES,09ANNPA5373Q1ZA,MORADABAD,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,2211,"1,10,550.00",387,18,"1,10,937.00","19,969.00",0,0,0,"1,30,906.00"
SCT/2515,1/13/2025,JAGDAMBA STONE SUPPLIERS,08CLBPM7587A1ZZ,DEOLI,Rajasthan,CERAMIC GLAZE TILES,69072300,1579,"94,740.00",331.17,18,"95,071.22","17,113.18",0,0,0,"1,28,028.00"
SCT/2515,1/13/2025,JAGDAMBA STONE SUPPLIERS,08CLBPM7587A1ZZ,DEOLI,Rajasthan,CERAMIC GLAZE TILES,69072300,223,"13,380.00",46.83,18,"13,426.78","2,416.82",0,0,0,"1,28,028.00"
